1,Afghanistan,,110.6
2,Somalia,,94.8
3,Central African,Republic,86.3
4,Guinea-Bissau,,85.7
5,Chad,,85.4
6,Niger,,81.1
7,Burkina Faso,,72.2
8,Nigeria,,69.8
9,Mali,,69.5
10,Sierra Leone,,68.4
11,"Congo, Democrat",ic Republic of the,68.2
12,Angola,,67.6
13,Mozambique,,65.9
14,Equatorial Guin,ea,65.2
15,South Sudan,,62.8
16,Zambia,,61.1
17,"Gambia, The",,60.2
18,Comoros,,60
19,Burundi,,58.8
20,Uganda,,56.1
21,Cote d'Ivoire,,55.8
22,"Congo, Republic",of the,54.9
23,Benin,,52.8
24,Liberia,,52.2
25,Pakistan,,52.1
26,Mauritania,,51.9
27,Western Sahara,,51.9
28,Cameroon,,51
29,Guinea,,50
30,Laos,,49.9
31,Ethiopia,,49.6
32,Senegal,,49.1
33,Sudan,,48.8
34,Swaziland,,48.4
35,Cambodia,,47.4
36,Haiti,,46.8
37,Lesotho,,46.1
38,Yemen,,46
39,Djibouti,,45.8
40,Sao Tome and Pr,incipe,45.3
41,Eritrea,,45
42,Gabon,,44.1
43,Malawi,,43.4
44,Togo,,42.2
45,Madagascar,,41.2
46,Tanzania,,39.9
47,India,,39.1
48,Iraq,,37.5
49,Kenya,,37.1
50,Papua New Guine,a,36.3
51,Burma,,35.8
52,Bolivia,,35.3
53,Ghana,,35.2
54,Timor-Leste,,35.1
55,Namibia,,35.1
56,Turkmenistan,,34.3
57,Zimbabwe,,32.7
58,Kiribati,,32.1
59,Bhutan,,32.1
60,Tajikistan,,31.8
61,Bangladesh,,31.7
62,South Africa,,31
63,Guyana,,30.4
64,Rwanda,,29.7
65,Botswana,,29.6
66,Tuvalu,,29
67,Nepal,,27.9
68,Kyrgyzstan,,25.9
69,Suriname,,24.5
70,Azerbaijan,,23.8
71,Indonesia,,22.7
72,Trinidad and To,bago,22.3
73,"Korea, North",,22.1
74,Maldives,,22
75,Cabo Verde,,21.9
76,Morocco,,21.9
77,Philippines,,21.4
78,Guatemala,,21.3
79,Mongolia,,21.1
80,"Micronesia, Fed",erated States of,19.8
81,Algeria,,19.6
82,Kazakhstan,,19.6
83,Marshall Island,s,19.3
84,Egypt,,19
85,Belize,,18.9
86,Paraguay,,18.7
87,Samoa,,18.6
88,Peru,,18.4
89,Nicaragua,,18.3
90,Uzbekistan,,18
91,Turkey,,17.6
92,Brazil,,17.5
93,Dominican Repub,lic,17.5
94,Vietnam,,17.3
95,Honduras,,17.2
96,El Salvador,,16.8
97,Gaza Strip,,16.6
98,Ecuador,,16.4
99,Iran,,15.9
100,Georgia,,15.2
101,Syria,,14.8
102,Solomon Islands,,14.7
103,Vanuatu,,14.4
104,Jordan,,14.2
105,West Bank,,14.1
106,Colombia,,13.6
107,"Saint Helena, A","scension, and Tristan da Cunha",13.3
108,Saudi Arabia,,13.2
109,Cook Islands,,13
110,Oman,,12.8
111,Jamaica,,12.8
112,Northern Marian,a Islands,12.7
113,Armenia,,12.7
114,Guam,,12.6
115,Malaysia,,12.5
116,Montserrat,,12.3
117,Venezuela,,12.2
